7. 3.,BA,"7:3"
3. 3.,TAT,"1:17"
28. 2.,CHO,"4:12"
27. 2.,SPA,"6:8"
24. 2.,LIB,"7:9"
,,
,,
,,
,,
,,
P - P - P - P - VP - P - P - P - P - V
