1.,Lukáš Kříž,,16,13,723.67,12,46,0,247,0,1,201,0,0
2.,Jan Buzík,,9,1,40.00,1,1,0,8,0,0,7,0,0
3.,Tomáš Jurco,,7,4,193.32,2,10,0,57,0,2,47,0,0
