29. 3.,PAR (h),"5:6"
27. 3.,PAR (d),"0:6"
26. 3.,PAR (d),"5:6"
20. 3.,PAR (h),"5:6sn"
19. 3.,PAR (h),"7:4"
,,
,,
,,
,,
,,
PP - P - P - V - P - V - PP - P - P - P
