8. 3.,VIT (h),"3:4sn"
6. 3.,VIT (d),"4:6"
5. 3.,VIT (d),"2:7"
27. 2.,VIT (h),"4:5sn"
26. 2.,VIT (h),"7:3"
,,
,,
,,
,,
,,
V - V - PP - P - V - V - PP - P - P - PP
