7. 3.,BA,"7:3"
3. 3.,TAT,"1:17"
28. 2.,CHO,"4:12"
27. 2.,SPA,"6:8"
24. 2.,LIB,"7:9"
27. 3.,OTR,"-:-"
28. 3.,OTR,"-:-"
31. 3.,OTR,"-:-"
2. 4.,OTR,"-:-"
3. 4.,OTR,"-:-"
P - P - P - P - VP - P - P - P - P - V
