28. 2.,BA,"3:9"
21. 2.,CHO,"3:12"
14. 2.,BOH,"3:8"
13. 2.,SPA,"3:8"
10. 2.,VIT,"5:7"
27. 3.,PAR,"-:-"
28. 3.,PAR,"-:-"
31. 3.,PAR,"-:-"
2. 4.,PAR,"-:-"
3. 4.,PAR,"-:-"
P - P - P - P - PP - P - P - P - P - P
